# posix regular expression tests

# input lines may be blank, or comment beginning with #,
# or a test spec, four fields separated by 1 or more tabs

#    field 1, what tests to apply, one or more chars
#	B 	BRE
#	E 	ERE
#	A	ARE		(skip if REG_AUGMENTED is undefined)
#	N 	REG_NOSUB
#	I	REG_ICASE
#	W	REG_NEWLINE
#	U	REG_NULL	(skip if REG_NULL is undefined)
#	C	REG_ANCH	(skip if REG_ANCH is undefined)
#	L	REG_LITERAL	(skip if REG_LITERAL is undefined)
#	b	REG_NOTBOL
#	e	REG_NOTEOL
#	numb	use numb for nmatch (20 by default)

#    field 2, a regular expression, or NULL meaning empty.

#    field 3, a string to match, or NULL meaning empty.

#    field 4, outcome.  one of the posix error codes (with REG_
#       deleted) or the match array, a list of (m,n) entries
#	with m and n being first and last+1 positions in string,
#	or NULL if REG_NOSUB is in effect and success is expected.
#	BADPAT is acceptable in place of any regcomp error code
#	and vice versa.

#    fields 2 and 3 may contain certain escape sequences:
#	\n \xhh (hexadecimal)

#    the distinct regcomp() error values are parlous;
#    BADPAT matches any error and vice versa

# basic sanity

BEA	abracadabra$	abracadabracadabra	(7,18)
BEAI	aBrAcAdAbRa$	AbRaCaDaBrA		(0,11)
BEAI	aBrAc		1ABRA2abra3abrac	(11,16)
BEA	a...b		abababbb		(2,7)

# "null" expressions

B	\(\)		()	(0,0)(0,0)
E	\(\)		()	(0,2)
B	()		()	(0,2)
EA	)		()	(1,2)
EA	\)		()	(1,2)
EA	}		{}	(1,2)
BEA	a]		a]a	(0,2)

EA	NULL		NULL	BADPAT
EA	()*		NULL	BADPAT
B	NULL		NULL	BADPAT
B	\(a		NULL	EPAREN
EA	(a		NULL	EPAREN
B	\)		NULL	EPAREN
B	\{		NULL	BADPAT
EA	{		NULL	BADPAT
BEA	\}		NULL	BADPAT
BEA	\]		NULL	BADPAT

# anchoring

BEA	^abc		xa	NOMATCH
BEA	^a		ax	(0,1)
BEA	\^a		a^a	(1,3)
BEA	a\^		a^	(0,2)
BEA	a$		aa$	NOMATCH
BEA	a$		aa	(1,2)
BEA	a\$		aa	NOMATCH
BEA	a\$		a$	(0,2)
BEA	^$		NULL	(0,0)

B	$^		$^	(0,2)
B	$^		NULL	NOMATCH
EA	$^		$^	NOMATCH
EA	$^		NULL	(0,0)

EA	x^a		x^a	NOMATCH
B	x^a		x^a	(0,3)
EA	$a		$a	NOMATCH
B	$a		$a	(0,2)
EA	^*		a	(0,0)
B	^*		*	(0,1)
#B	\(^\) and \($\)not tested; std allows multiple behaviors
B	\(\^\)		^	(0,1)(0,1)
B	\(\$\)		$	(0,1)(0,1)
EA	(^)*		NULL	(0,0)
EA	(^)+		NULL	(0,0)(0,0)
EA	^(^)		NULL	(0,0)(0,0)
EA	a($)		aa	(1,2)(2,2)
EA	a*(^a)		aa	(0,1)(0,1)
B	$*		$$	(0,2)
EA	$*		$$	(0,0)

# longest leftmost match

EA	(..)*(...)*	a	(0,0)(?,?)(?,?)
EA	(..)*(...)*	abc	(0,3)(?,?)(0,3)
EA	(..)*(...)*	abcd	(0,4)(2,4)(?,?)
EA	(..)*(...)*.*	abc	(0,3)(0,2)(?,?)
EA	((..)*(...)*).*	abc	(0,3)(0,3)(?,?)(0,3)
EA	((...)*(..)*).*	abcd	(0,4)(0,4)(?,?)(2,4)
EA	(...)*(..)*.*	abcd	(0,4)(0,3)(?,?)
EA	(a|ab)(bc|c)	abc	(0,3)(0,2)(2,3)
EA	(ab|a)(bc|c)	abc	(0,3)(0,2)(2,3)
EA	(ab)c|abc	abc	(0,3)(0,2)
EA	abc|(ab)c	abc	(0,3)(?,?)

B	\(..\)*\(...\)*		a	(0,0)(?,?)(?,?)
B	\(..\)*\(...\)*		abc	(0,3)(?,?)(0,3)
B	\(..\)*\(...\)*		abcd	(0,4)(2,4)(?,?)
B	\(..\)*\(...\)*.*	abc	(0,3)(0,2)(?,?)
B	\(\(..\)*\(...\)*\).*	abc	(0,3)(0,3)(?,?)(0,3)

# backreference

B	\(\(.\)\2\)*a	xxbxxyya	(3,8)(5,7)(5,6)
B	\(\(x\)\2\)*a	xxbxxyyaa	(7,8)(?,?)(?,?)
B	\(\(x\)*a\)*	xaxxaa		(0,6)(5,6)(?,?)
B	\(\(a*b*\)\2\)*	abbabbaa	(0,8)(6,8)(6,7)

B	\(.*\)\1\1\(.*\)\2\2\2	aaa	(0,3)(0,1)(3,3)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaa	(0,4)(0,0)(0,1)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaa	(0,4)(0,0)(0,1)
